Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
30-Apr-2024,EQ,463.0,466.75,461.5,462.95,462.4,462.4,463.91,545.9,375.05,"44,51,478","2,06,50,64,238.45","72,568"
29-Apr-2024,EQ,467.65,468.0,461.6,464.6,463.3,462.95,463.59,545.9,375.05,"36,24,970","1,68,04,89,736.85","68,000"
26-Apr-2024,EQ,461.9,475.8,461.6,461.0,465.15,464.6,469.2,545.9,370.55,"1,07,39,147","5,03,88,08,647.80","1,69,644"
25-Apr-2024,EQ,458.9,462.55,455.8,459.9,461.65,461.0,460.46,545.9,370.55,"59,02,545","2,71,79,00,740.60","1,11,925"
24-Apr-2024,EQ,463.9,464.65,458.6,462.1,460.95,459.9,461.58,545.9,370.55,"29,57,584","1,36,51,54,814.05","58,214"
23-Apr-2024,EQ,466.8,466.8,460.2,462.0,461.5,462.1,463.14,545.9,370.55,"51,61,356","2,39,04,45,963.45","72,015"
22-Apr-2024,EQ,452.75,466.15,450.0,452.75,461.95,462.0,461.45,545.9,370.55,"94,40,870","4,35,64,93,004.90","1,18,309"
19-Apr-2024,EQ,440.0,453.9,437.0,444.35,452.1,452.75,446.76,545.9,352.0,"1,02,35,053","4,57,26,53,452.85","1,51,723"
18-Apr-2024,EQ,452.5,455.45,442.85,448.35,445.2,444.35,448.85,545.9,352.0,"1,09,93,129","4,93,43,08,716.40","1,86,058"
16-Apr-2024,EQ,453.05,458.5,444.8,459.35,449.0,448.35,451.53,545.9,352.0,"1,07,19,712","4,84,02,73,621.50","1,70,099"
15-Apr-2024,EQ,466.45,468.35,458.2,470.75,458.5,459.35,462.88,545.9,352.0,"60,88,236","2,81,81,32,715.95","1,06,295"
12-Apr-2024,EQ,475.0,480.0,470.0,477.3,471.2,470.75,474.6,545.9,352.0,"65,85,023","3,12,52,73,929.60","1,24,860"
10-Apr-2024,EQ,477.5,479.45,473.1,475.8,477.7,477.3,476.56,545.9,352.0,"53,85,767","2,56,66,67,762.60","96,262"
